,x,y
1,1,39.75976676587713
2,2,51.98188762463974
3,3,22.776212117721844
4,4,-42.22553891565146
5,5,22.788022155878707
6,6,-6.398173427605991
7,7,-44.48560877017722
8,8,17.660842275603077
9,9,63.3644876723766
10,10,-12.767233642787609
11,11,-8.754906982368482
12,12,38.609468990225956
13,13,111.06663755256642
14,14,-40.055389999380196
15,15,86.68708354449859
16,16,-8.001386895814527
17,17,40.01449532391572
18,18,51.489380029972374
19,19,74.16938496767614
20,20,9.175345383763606
21,21,142.01000085876456
22,22,135.07750209808773
23,23,56.0416598200034
24,24,35.89500351691835
25,25,57.96234097042215
26,26,44.712830435784454
27,27,-44.35696811999968
28,28,148.99052005057956
29,29,30.10070301080468
30,30,110.22214957141816
31,31,36.50285622423384
32,32,77.33462745056272
33,33,61.814718237187705
34,34,95.77166942875795
35,35,59.62686542764867
36,36,88.50193975106961
37,37,216.57220322647413
38,38,45.1735071989616
39,39,153.33282998943108
40,40,67.76487184172177
41,41,79.19009659277961
42,42,90.90730173251319
43,43,163.85554854379794
44,44,170.67273687982106
45,45,167.97491748133925
46,46,225.25960705862485
47,47,89.57264021550456
48,48,87.03056418476879
49,49,44.207823077162715
50,50,280.46327589398805
51,51,143.8624915447158
52,52,106.72626081437548
53,53,32.52882111136272
54,54,2.9818114845373174
55,55,185.92650755671042
56,56,41.33482954181805
57,57,178.78206068177357
58,58,124.05797226126325
59,59,135.31763139486117
60,60,212.4251582304014
61,61,66.81847474713207
62,62,159.28591826058152
63,63,115.17358285927111
64,64,126.03858022532137
65,65,41.15120388853944
66,66,115.50498354762232
67,67,115.79556579780056
68,68,96.75066752984198
69,69,197.1147726265571
70,70,241.73158192380885
71,71,113.82971263478962
72,72,167.73140705357218
73,73,150.07222907012758
74,74,80.4113543157332
75,75,137.33095532224428
76,76,205.9569957098525
77,77,129.01503890195323
78,78,242.91028232798544
79,79,239.87764739328935
80,80,147.79520465869354
81,81,244.53703438760118
82,82,105.13150499197671
83,83,125.3869134029443
84,84,106.48621711252845
85,85,156.1870480910081
86,86,192.37113740916567
87,87,155.44602017621426
88,88,232.97115866358402
89,89,220.14957971104693
90,90,129.2747632198705
91,91,207.06681795096154
92,92,183.2066400199328
93,93,280.8637692336672
94,94,217.41952745270626
95,95,168.83758553691263
96,96,173.3154628952975
97,97,230.37286100719155
98,98,305.0502876630186
99,99,362.312942158538
100,100,121.26124051717741
101,101,247.6972809506776
102,102,127.83953672844008
103,103,202.93798710462983
104,104,208.08773565776775
105,105,348.02309722802784
106,106,352.3578837160823
107,107,172.27797567824496
108,108,176.94649430910636
109,109,326.2197375094496
110,110,188.26495649167816
111,111,258.6386840761722
112,112,355.8317021842422
113,113,241.41449089405407
114,114,214.37254652113677
115,115,264.9731889351657
116,116,373.07251139327906
117,117,274.76176596036373
118,118,276.8514275191592
119,119,246.98747549231985
120,120,184.3660764477582
121,121,356.26523338422936
122,122,364.5805781313551
123,123,352.8696536277688
124,124,188.95191015871023
125,125,259.08017502777005
126,126,291.86134652857174
127,127,241.23876640413883
128,128,349.1228758371952
129,129,231.82840184389204
130,130,180.29206885383803
131,131,218.77020992574393
132,132,171.52070567072025
133,133,351.57812444965555
134,134,316.72184924824285
135,135,261.5273473829685
136,136,223.2083080859963
137,137,300.4902567406959
138,138,312.269271129737
139,139,307.51230036092903
140,140,252.4207694396657
141,141,375.1766335190071
142,142,357.53656993342463
143,143,370.31015883931946
144,144,270.4191272823336
145,145,339.69688848130755
146,146,291.6680484613402
147,147,391.8047849922109
148,148,391.2653999189106
149,149,359.8156387348925
150,150,340.44214585548383
151,151,325.3453548590786
152,152,420.5585512654283
153,153,381.9885533379593
154,154,303.4135291640853
155,155,316.4771212932114
156,156,254.64864270254327
157,157,387.71017968169105
158,158,384.49756165381103
159,159,304.54001649781566
160,160,203.09823990363066
161,161,349.54851755625845
162,162,391.4296510341244
163,163,370.0186672670024
164,164,371.26859296716265
165,165,337.1607088260934
166,166,453.04652653822103
167,167,408.0387715006002
168,168,325.43696709768614
169,169,432.6579299513701
170,170,349.04996656436197
171,171,410.6545436262387
172,172,381.9724912815103
173,173,339.6403646209053
174,174,291.4129103956375
175,175,425.0272157213681
176,176,460.1391993504625
177,177,531.0868799996906
178,178,333.51639228178647
179,179,398.8710278059422
180,180,536.7435783980011
181,181,407.82855749605295
182,182,417.606595864753
183,183,427.9742431219927
184,184,369.5312612533033
185,185,431.91974040120255
186,186,524.4068637204759
187,187,494.277065161145
188,188,472.45354024004286
189,189,376.9100316164091
190,190,298.7628587751757
191,191,456.8735399329527
192,192,429.98704089523085
193,193,418.0120466757841
194,194,445.8471003764325
195,195,444.0357334293791
196,196,396.2997112732156
197,197,480.76267752781405
198,198,421.5972750026245
199,199,373.75908918893657
200,200,523.5330823293341
201,201,451.96595008423446
202,202,389.95873582174465
203,203,530.15575163703
204,204,532.7899991694824
205,205,406.60566526365824
206,206,513.4009440431221
207,207,520.2148896303288
208,208,542.4585508025488
209,209,562.617700700346
210,210,598.218988235057
211,211,487.3200884156645
212,212,441.85282329981163
213,213,514.3484613052755
214,214,426.7050114568951
215,215,405.5139708731871
216,216,477.84660072335026
217,217,513.1591233589108
218,218,491.38753838128906
219,219,391.75198658449267
220,220,442.5781779290263
221,221,420.59694840087695
222,222,595.5230229501675
